索引,开始,时间,类型,数据,
0,920 ns,538.2 μs,Bits,Reset,
1,539.12 μs,480 μs,Bits,Presence: true,
2,1.17716 ms,68.36 μs,Bits,Bit: 0,
3,1.2694 ms,68.32 μs,Bits,Bit: 0,
4,1.36596 ms,60 μs,Bits,Bit: 1,
5,1.46688 ms,60 μs,Bits,Bit: 1,
6,1.57212 ms,68.36 μs,Bits,Bit: 0,
7,1.68172 ms,68.36 μs,Bits,Bit: 0,
8,1.79568 ms,60 μs,Bits,Bit: 1,
9,1.91392 ms,60 μs,Bits,Bit: 1,
10,539.12 μs,480 μs,Text,Reset/presence: true,
11,1.17716 ms,796.76 μs,Text,ROM command: 0xcc 'Skip ROM',
12,2.0116 ms,68.32 μs,Bits,Bit: 0,
13,2.10384 ms,68.32 μs,Bits,Bit: 0,
14,2.2004 ms,60 μs,Bits,Bit: 1,
15,2.30132 ms,68.32 μs,Bits,Bit: 0,
16,2.40656 ms,68.36 μs,Bits,Bit: 0,
17,2.51616 ms,68.36 μs,Bits,Bit: 0,
18,2.63008 ms,60 μs,Bits,Bit: 1,
19,2.74836 ms,68.36 μs,Bits,Bit: 0,
20,2.8992 ms,538.2 μs,Bits,Reset,
21,3.4374 ms,480 μs,Bits,Presence: true,
22,2.0116 ms,805.12 μs,Text,Data: 0x44,
23,3.4374 ms,480 μs,Text,Reset/presence: true,
24,4.07544 ms,68.36 μs,Bits,Bit: 0,
25,4.16768 ms,68.32 μs,Bits,Bit: 0,
26,4.26424 ms,60 μs,Bits,Bit: 1,
27,4.36516 ms,60 μs,Bits,Bit: 1,
28,4.4704 ms,68.36 μs,Bits,Bit: 0,
29,4.58 ms,68.36 μs,Bits,Bit: 0,
30,4.69396 ms,60 μs,Bits,Bit: 1,
31,4.81224 ms,60 μs,Bits,Bit: 1,
32,4.90988 ms,68.36 μs,Bits,Bit: 0,
33,5.00212 ms,60 μs,Bits,Bit: 1,
34,5.09868 ms,60 μs,Bits,Bit: 1,
35,5.1996 ms,60 μs,Bits,Bit: 1,
36,5.30484 ms,60 μs,Bits,Bit: 1,
37,5.41444 ms,60 μs,Bits,Bit: 1,
38,5.5284 ms,68.32 μs,Bits,Bit: 0,
39,5.64668 ms,60 μs,Bits,Bit: 1,
40,4.07544 ms,796.8 μs,Text,ROM command: 0xcc 'Skip ROM',
41,4.90988 ms,796.8 μs,Text,Data: 0xbe,
42,5.73128 ms,60 μs,Bits,Bit: 0,
43,5.81484 ms,60 μs,Bits,Bit: 1,
44,5.91252 ms,60 μs,Bits,Bit: 0,
45,5.99608 ms,60 μs,Bits,Bit: 1,
46,6.1024 ms,60 μs,Bits,Bit: 1,
47,6.21308 ms,60 μs,Bits,Bit: 0,
48,6.29664 ms,60 μs,Bits,Bit: 1,
49,6.416 ms,60 μs,Bits,Bit: 0,
50,6.51148 ms,60 μs,Bits,Bit: 1,
51,6.6048 ms,60 μs,Bits,Bit: 0,
52,6.68836 ms,60 μs,Bits,Bit: 0,
53,6.77192 ms,60 μs,Bits,Bit: 0,
54,6.85544 ms,60 μs,Bits,Bit: 0,
55,6.939 ms,60 μs,Bits,Bit: 0,
56,7.02256 ms,60 μs,Bits,Bit: 0,
57,7.10612 ms,60 μs,Bits,Bit: 0,
58,5.73128 ms,744.72 μs,Text,Data: 0x5a,
59,6.51148 ms,654.64 μs,Text,Data: 0x01,
